submission_id,scenario_category,experience_level,skills,bio,questionnaire_response,source,completeness_label,text_quality_label,plausibility_label,consistency_label,expected_verdict
S008,"Complete, genuine (human)",Intermediate,"Legal Research, Document Review, Westlaw","I've worked as a paralegal at a small litigation firm for four years, mostly on discovery and document review for commercial disputes. I've also drafted first-pass motions for attorney review.","Managed document review for a case involving roughly 40,000 documents, building a tagging system that cut attorney review time significantly.",Human,Yes,Good,Plausible,Consistent,Verified
S002,"Complete, genuine (human)",Expert,"Python, Django, AWS, Docker","Backend engineer with eight years of experience, primarily in fintech. I've designed and scaled payment processing systems handling several thousand transactions per minute, and mentored junior engineers on system design.","Led the migration of our payments service from a monolith to microservices, reducing deployment time from hours to minutes.",Human,Yes,Good,Plausible,Consistent,Verified
S079,"AI-generated, suspicious",Entry,"Teaching, Curriculum Development","As a passionate and student-centered educator, I am committed to fostering transformative learning experiences that empower every student to achieve unparalleled academic excellence through innovative, research-backed pedagogical strategies.","Every single one of my students has achieved top marks under my instruction, without exception, across every class I have ever taught.",AI,Yes,Fair,Implausible,Consistent,Flagged
S071,"AI-generated, plausible",Intermediate,"Claims Processing, Policy Review, Compliance",I am an insurance claims specialist with four years of experience reviewing and processing property claims. I aim to balance efficient turnaround with careful attention to policy compliance.,"I streamlined our claims intake checklist, which reduced back-and-forth requests for missing documentation.",AI,Yes,Good,Plausible,Consistent,Verified
S027,Poor-quality writing,Intermediate,"python, sql","i been coding for a while now mostly python and sql stuff for reports and things, its ok i guess, done some scripts and stuff for my last job",wrote a script that did some automation thing for reports i dont remember exactly what,Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S081,"AI-generated, suspicious",Entry,"Program Coordination, Community Outreach","As a passionate and mission-driven program coordinator, I leverage a holistic, community-centered approach to drive transformative social impact, consistently exceeding engagement targets and fostering unparalleled stakeholder alignment across every initiative.","Every program I have coordinated has achieved perfect community engagement, exceeding all targets without exception.",AI,Yes,Fair,Implausible,Consistent,Flagged
S022,Incomplete,Intermediate,Photography,I'm a photographer.,See portfolio (not attached).,Human,No,Poor,Plausible,Consistent,Needs Improvement
S053,Implausible claims,Intermediate,Software Development,"I wrote an entire operating system from scratch by myself in two weeks, including the kernel, drivers, and a full GUI, with zero bugs on first release.",I don't use debuggers because my code is always correct the first time I write it.,Human,Yes,Fair,Implausible,Consistent,Flagged
S042,Contradictory information,Entry,"Enterprise Sales, Salesforce",I currently manage a $2M enterprise sales territory and close deals with Fortune 100 procurement teams on a regular basis.,I have never sold anything before and I'm not sure how a sales pipeline works.,Human,Yes,Fair,Implausible,Contradictory,Flagged
S051,Implausible claims,Intermediate,Financial Advising,"I guarantee all my clients a minimum 30% annual return on their investments with absolutely zero risk of loss, every single year without exception.","None of my clients have ever lost money under my management, not even during market downturns.",Human,Yes,Good,Implausible,Consistent,Flagged
S067,"AI-generated, plausible",Expert,"Financial Analysis, Forecasting, Excel Modeling",I am a financial analyst with seven years of experience building forecasting models and supporting budget planning for a mid-size manufacturing company. I focus on making financial data accessible to non-finance stakeholders.,"I rebuilt our quarterly forecasting model, reducing the close process from two weeks to five business days.",AI,Yes,Good,Plausible,Consistent,Verified
S040,Contradictory information,Intermediate,"Pediatric Nursing, Patient Care","I've been a registered nurse in a pediatric ward for six years, handling everything from routine checkups to emergency triage.",I'm currently finishing my final year of high school and this would be my first job of any kind.,Human,Yes,Good,Implausible,Contradictory,Flagged
S068,"AI-generated, plausible",Intermediate,"ETL Pipelines, Airflow, SQL, Python",I am a data engineer with four years of experience building and maintaining ETL pipelines that support analytics and reporting teams. I focus on making pipelines resilient and easy to debug when something breaks at 2am.,"I rebuilt our nightly ETL pipeline in Airflow, cutting average runtime from four hours to ninety minutes.",AI,Yes,Good,Plausible,Consistent,Verified
S035,Poor-quality writing,Intermediate,"construction, tools","been doin construction for a few years now, know how to use most tools n stuff, worked on houses n small buildings n whatever",worked on some houses dont remember all the details,Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S061,"AI-generated, plausible",Intermediate,"React, TypeScript, GraphQL","With over four years of hands-on experience in frontend development, I specialize in building scalable, maintainable user interfaces using React and TypeScript. I have a strong track record of collaborating with cross-functional teams to deliver polished products on schedule.","In my most recent role, I led the adoption of a GraphQL layer that reduced redundant API calls and improved page load performance by roughly 25 percent.",AI,Yes,Good,Plausible,Consistent,Verified
S039,Contradictory information,Intermediate,"Adobe Photoshop, Illustrator","I've worked as a graphic designer for 5 years, mostly on brand identity and print materials.","As a backend engineer, I mostly work with PostgreSQL and Redis for caching layers.",Human,Yes,Good,Plausible,Contradictory,Flagged
S060,Implausible claims,Entry,Photography,"I have personally photographed every major celebrity in Hollywood and every one of my photos has appeared on the cover of a major magazine, without exception.","Every single photoshoot I've ever done has resulted in a magazine cover, no exceptions at all.",Human,Yes,Fair,Implausible,Consistent,Flagged
S056,Implausible claims,Entry,Personal Training,"Every client I train loses 20 pounds of pure muscle in their first week, guaranteed, no matter their starting fitness level or medical history.","I have never had a client fail to see dramatic, permanent results within seven days.",Human,Yes,Fair,Implausible,Consistent,Flagged
S077,"AI-generated, suspicious",Entry,"Human Resources, Talent Acquisition","As a strategic and people-first HR professional, I bring a wealth of expertise in talent acquisition, employee engagement, and organizational development, consistently fostering a culture of excellence and driving transformative outcomes across every initiative I lead.","I have single-handedly transformed company culture at every organization I've touched, achieving unprecedented levels of employee satisfaction.",AI,Yes,Fair,Implausible,Consistent,Flagged
S023,Incomplete,Entry,,,Insurance claims processing.,Human,No,Poor,Plausible,Consistent,Needs Improvement
S064,"AI-generated, plausible",Entry,"Customer Support, Zendesk, Communication",I'm a customer support specialist with two years of experience handling high-volume ticket queues in a B2B SaaS environment. I focus on resolving issues quickly while making sure customers feel heard.,I helped reduce our average response time from six hours to under two by reorganizing our ticket triage process.,AI,Yes,Good,Plausible,Consistent,Verified
S066,"AI-generated, plausible",Intermediate,"Manual Testing, Selenium, Test Planning","I am a QA engineer with three years of experience testing web applications, combining manual exploratory testing with automated regression suites built in Selenium.",I introduced a regression suite that cut our manual pre-release testing time from three days to one.,AI,Yes,Good,Plausible,Consistent,Verified
S024,Incomplete,Intermediate,Personal Training,"Been a trainer for a while, will update this section later.",N/A for now,Human,No,Poor,Plausible,Consistent,Needs Improvement
S041,Contradictory information,Expert,"Financial Modeling, Investment Banking",I spent a decade as a Vice President at a top investment bank leading M&A deals worth hundreds of millions of dollars.,I paint watercolor landscapes as a hobby and have never worked in an office before.,Human,Yes,Good,Plausible,Contradictory,Flagged
S100,Mixed human/AI-edited,Intermediate,"React, JavaScript","I've built a handful of small web apps for local businesses as freelance work over the past two years. Committed to writing clean, maintainable code that empowers businesses to achieve their digital transformation goals.",Built a booking site for a local hair salon that they still use to take appointments.,Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S113,Edge case - numeric/keyword-only skills,Entry,"3, 5, JS, ok","did some coding stuff in school, made a website once for a class thing, not sure what else to say here honestly","made a website for a school project, it had a homepage and a contact form",Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S025,Poor-quality writing,Intermediate,"marketing, social media, content",i do marketing stuff for like 3 years now and im good at social media and also content and other things like that basically im good at marketing in general u know,i made posts that got alot of likes for a brand once,Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S007,"Complete, genuine (human)",Intermediate,"Patient Scheduling, EHR Systems, Medical Billing","I've worked as a clinic administrator for four years at a family practice, handling scheduling, insurance verification, and EHR data entry. I trained two new front-desk hires last year on our intake process.",Reduced patient check-in time by reorganizing our EHR intake form to cut redundant fields.,Human,Yes,Good,Plausible,Consistent,Verified
S057,Implausible claims,Expert,"Litigation, Trial Advocacy","In my twenty years as a trial attorney I have won every single case I've argued in court, without a single loss or settlement, across every type of litigation imaginable.",Judges and opposing counsel regularly tell me I'm the best litigator they've ever seen in the courtroom.,Human,Yes,Good,Implausible,Consistent,Flagged
S091,"Human-written, suspicious",Intermediate,Customer Support,"ive literally never had a single customer complaint in three years, not one, every ticket i touch ends with a five star review no matter what","cant name a specific case but trust me everyone loves working with me, no exceptions ever",Human,Yes,Fair,Implausible,Consistent,Flagged
S019,Incomplete,Intermediate,"Operations, Logistics","Ops person, will add more details soon.",Skip for now.,Human,No,Poor,Plausible,Consistent,Needs Improvement
S050,Implausible claims,Entry,Machine Learning,I graduated high school last month and have already published 12 peer-reviewed papers at top AI conferences and hold 6 patents in deep learning architectures.,My most recent project achieved 100% accuracy on every benchmark I tested it on.,Human,Yes,Good,Implausible,Consistent,Flagged
S119,"Edge case - single sentence, genuine",Entry,Customer Service,I worked front desk at a hotel for a year and I'm looking for something similar with more responsibility.,Checked guests in and out and handled basic complaints about room issues.,Human,Yes,Fair,Plausible,Consistent,Needs Improvement
S043,Contradictory information,Intermediate,"Curriculum Design, Classroom Management",I've taught high school chemistry for six years and designed our department's current lab safety curriculum.,My most recent role was as a mechanical engineer designing turbine components for an aerospace firm.,Human,Yes,Good,Plausible,Contradictory,Flagged
S003,"Complete, genuine (human)",Entry,"HTML, CSS, JavaScript","I just finished a six-month coding bootcamp and built three portfolio projects, including a budgeting app and a recipe sharing site. I'm eager to learn from a real engineering team.",Built a personal budgeting app using vanilla JavaScript and localStorage as my capstone project.,Human,Yes,Good,Plausible,Consistent,Verified
S104,Mixed human/AI-edited,Intermediate,"Warehouse Coordination, Inventory Systems",I've coordinated inventory for a mid-size warehouse for two years. Committed to leveraging best-in-class logistics practices to drive operational excellence and seamless supply chain efficiency.,"Reorganized our inventory labeling system, which the team believes cut picking errors, though we never tracked exact numbers.",Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S073,"AI-generated, suspicious",Entry,"Full-Stack Development, Cloud Architecture, Machine Learning, DevOps","As a highly motivated and results-driven professional, I possess an extensive and diverse skill set spanning full-stack development, cloud architecture, machine learning, and DevOps practices, enabling me to seamlessly deliver end-to-end solutions that consistently exceed stakeholder expectations.","Leveraging synergistic best practices, I have consistently delivered cutting-edge, scalable solutions across a wide array of complex, mission-critical projects.",AI,Yes,Fair,Implausible,Consistent,Flagged
S074,"AI-generated, suspicious",Entry,Everything relevant,"I am a dedicated and passionate individual with a proven track record of excellence across numerous domains, consistently demonstrating an unwavering commitment to delivering exceptional results in any environment I am placed in.",I have successfully completed numerous high-impact projects that showcase my exceptional abilities and unmatched dedication to quality.,AI,Yes,Poor,Implausible,Consistent,Flagged
S037,Contradictory information,Entry,"Kubernetes, Terraform, distributed systems architecture",This is my first job application ever - I have no professional experience and haven't worked in tech before.,I have never built or deployed a project before.,Human,Yes,Good,Implausible,Contradictory,Flagged
S047,Contradictory information,Expert,"Executive Leadership, P&L Management, Strategy","I've served as Chief Operating Officer at a 500-person company for the past six years, overseeing all day-to-day operations and reporting directly to the board.",This would be my very first internship and I'm still figuring out how to write a professional email.,Human,Yes,Good,Implausible,Contradictory,Flagged
S038,Contradictory information,Expert,Python,I have 15 years of experience as a senior Python architect leading teams of 20+ engineers at Fortune 500 companies.,I'm currently a first-year computer science student looking for my very first internship.,Human,Yes,Good,Implausible,Contradictory,Flagged
S011,"Complete, genuine (human)",Intermediate,"Animal Handling, Veterinary Software, Client Communication","I've worked as a veterinary technician for six years at a small-animal clinic, assisting with surgery prep, lab work, and client education. I'm certified in animal CPR and comfortable handling emergency cases.",Helped implement a new digital record system that cut appointment check-in time roughly in half.,Human,Yes,Good,Plausible,Consistent,Verified
S075,"AI-generated, suspicious",Entry,"Marketing, Branding, Growth","As a dynamic and forward-thinking marketing professional, I excel at leveraging innovative strategies to drive impactful, data-driven growth across multiple channels, consistently delivering unparalleled results that exceed every KPI target.",I spearheaded a game-changing initiative that revolutionized our brand's market positioning and unlocked unprecedented levels of engagement.,AI,Yes,Fair,Implausible,Consistent,Flagged
S016,Incomplete,Entry,Sales,Looking for a sales role.,,Human,No,Poor,Plausible,Consistent,Needs Improvement
S059,Implausible claims,Entry,Mobile App Development,The app I built by myself over a weekend has been downloaded over one billion times and is now used by every major company in the Fortune 500.,"I built it entirely alone with no frameworks or libraries, from scratch, in about 48 hours total.",Human,Yes,Fair,Implausible,Consistent,Flagged
S006,"Complete, genuine (human)",Expert,"Kubernetes, Terraform, CI/CD, AWS","DevOps engineer with seven years of experience, the last three focused entirely on Kubernetes infrastructure for a company running around 200 microservices. I care a lot about making on-call less painful for everyone else on the team.","Rebuilt our CI/CD pipeline with Terraform and GitHub Actions, cutting average deploy time from 25 minutes to under 6.",Human,Yes,Good,Plausible,Consistent,Verified
S034,Poor-quality writing,Entry,"cash register, stocking","worked retail for like 2 yrs doin register n stockin shelves n stuff, dealt with customers n returns n all that",helped customers find stuff n did returns n stuff like that,Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S045,Contradictory information,Expert,"Cybersecurity, Penetration Testing, Network Security",I'm a senior cybersecurity analyst with nine years of experience running penetration tests and incident response for enterprise clients.,"I don't really use computers much outside of checking email and browsing, so I'm still learning the basics.",Human,Yes,Good,Implausible,Contradictory,Flagged
S046,Contradictory information,Expert,"Veterinary Medicine, Surgery, Animal Diagnostics",I'm a licensed veterinarian with eleven years of experience running my own small-animal practice and performing routine surgeries.,I'm a sophomore in high school currently deciding what I want to study in college.,Human,Yes,Good,Implausible,Contradictory,Flagged
S013,Incomplete,Intermediate,Java,Software developer.,,Human,No,Poor,Plausible,Consistent,Needs Improvement
S049,Implausible claims,Entry,Everything,"I am an expert in all programming languages including Python, Java, C++, Rust, Go, Haskell, and 40 others. I have personally built over 500 production applications used by a billion users combined.",I invented three new sorting algorithms that are faster than anything currently published.,Human,Yes,Fair,Implausible,Consistent,Flagged
S102,Mixed human/AI-edited,Entry,"Copywriting, Blogging","I've written blog posts for a few small clients on Upwork over the last year. Skilled at crafting compelling, SEO-optimized content that resonates with target audiences and drives measurable engagement.",Wrote about 20 blog posts for a small gardening supply store's website.,Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S111,"Edge case - minimal skills, strong bio",Entry,Curiosity,I don't have formal technical skills listed because I'm coming from a non-technical background - five years in high-school teaching - but I've spent the last eight months self-studying web development every evening and built two small projects I'm proud of.,"Built a simple grade-tracking web app for my own classroom using HTML, CSS, and vanilla JS.",Human,Yes,Good,Plausible,Consistent,Needs Improvement
S120,Edge case - skills/role mismatch but plausible,Entry,"Music Production, Audio Engineering","I've spent the last three years as a freelance audio engineer for local bands, but I'm looking to transition into customer support roles since steady freelance income has been unpredictable.","Mixed and mastered an EP for a local band that got some regional radio play, but I'm ready for a career change.",Human,Yes,Good,Plausible,Consistent,Needs Improvement
S101,Mixed human/AI-edited,Intermediate,"Recruiting, Onboarding","I've worked in recruiting for three years at a small agency, mostly filling admin and entry-level roles. Dedicated to identifying top talent and fostering a seamless, candidate-centric hiring experience from first contact to offer.","Filled about 15 roles last year, mostly for local retail and admin positions.",Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S020,Incomplete,Entry,,Server at a restaurant for two years.,,Human,No,Fair,Plausible,Consistent,Needs Improvement
S086,"Human-written, suspicious",Intermediate,Sales,"I closed over 10 million dollars in deals last quarter working solo with no team and no CRM, all cold calls, best salesperson this industry has ever seen honestly.","Every single deal I have ever pitched has closed, 100% success rate, no exceptions.",Human,Yes,Fair,Implausible,Consistent,Flagged
S044,Contradictory information,Expert,"Architectural Design, AutoCAD, Building Codes",I'm a licensed architect with twelve years of experience designing commercial buildings and leading project teams through permitting and construction.,I've never designed a building before and I'm mostly interested in learning what an architect even does.,Human,Yes,Good,Implausible,Contradictory,Flagged
S105,Mixed human/AI-edited,Intermediate,"Legal Assistance, Filing, Scheduling","I've worked as a legal assistant at a small firm for two years handling filing and scheduling. Dedicated to providing meticulous, detail-oriented support that ensures seamless case management from intake to resolution.","Organized case files for around 30 active matters, which the attorneys said made things easier to find.",Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S021,Incomplete,,"Troubleshooting, Windows, Networking","IT support, ask me anything.",,Human,No,Poor,Plausible,Consistent,Needs Improvement
S001,"Complete, genuine (human)",Intermediate,"React, Node.js, PostgreSQL","I've spent the last four years building web applications for small businesses, mostly e-commerce sites and internal tooling. I like working close to the metal on performance issues, but I've also led a small team through a full product rewrite last year.","Recently migrated a legacy PHP monolith to a Node/React stack over six months, cutting page load time by 40%.",Human,Yes,Good,Plausible,Consistent,Verified
S116,Edge case - emoji-heavy formatting,Entry,"Social Media, Canva, Instagram","hii!! im a social media person who LOVES creating content for brands, ive worked with a few small local shops doing their instagram and it was so fun, always down to learn more and grow!!","made instagram posts for a local bakery that got a decent amount of engagement, they were happy with it!",Human,Yes,Fair,Plausible,Consistent,Needs Improvement
S106,Mixed human/AI-edited,Entry,"IT Support, Ticketing Systems","I did IT support for a small office for about a year, mostly resetting passwords and fixing printer issues. Dedicated to delivering exceptional technical support that empowers users to work without interruption.","Handled about 10-15 tickets a day, mostly account access and basic hardware troubleshooting.",Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S058,Implausible claims,Intermediate,"Culinary Arts, Menu Design","I single-handedly earned three Michelin stars for a restaurant I ran completely alone, cooking, plating, and serving every dish myself every single night.","Every dish I have ever served has received a perfect review, with zero exceptions in my career.",Human,Yes,Fair,Implausible,Consistent,Flagged
S114,Edge case - all caps formatting,Intermediate,"PROJECT MANAGEMENT, AGILE, SCRUM",I HAVE FIVE YEARS OF EXPERIENCE MANAGING SOFTWARE PROJECTS USING AGILE METHODOLOGY. I HAVE LED MULTIPLE SUCCESSFUL PRODUCT LAUNCHES AND ENJOY COORDINATING CROSS-FUNCTIONAL TEAMS.,LED A TEAM OF SIX ENGINEERS THROUGH A MAJOR PLATFORM MIGRATION COMPLETED ON SCHEDULE.,Human,Yes,Fair,Plausible,Consistent,Needs Improvement
S054,Implausible claims,Entry,Medical Consulting,"I have personally cured several patients of chronic illnesses using a nutrition plan I developed myself, with a 100% success rate across every case I've handled.","My method works for literally any medical condition, no exceptions.",Human,Yes,Fair,Implausible,Consistent,Flagged
S108,Mixed human/AI-edited,Entry,"User Interviews, Surveys","I helped run a few user interviews for a class project last year. Passionate about uncovering deep user insights that drive meaningful, human-centered product decisions.",Interviewed about 8 users for a mock app redesign project as part of my coursework.,Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S090,"Human-written, suspicious",Intermediate,Teaching,"im honestly the best teacher this school has ever had, every single kid in my class gets an A, parents literally beg to get their kids into my class every year",cant think of a specific lesson but everything i teach just works perfectly every time,Human,Yes,Fair,Implausible,Consistent,Flagged
S084,"AI-generated, suspicious",Entry,"IT Support, Helpdesk, Troubleshooting","As a highly skilled and proactive IT support professional, I leverage a comprehensive technical toolkit to consistently deliver seamless, frictionless resolutions that empower end-users to achieve uninterrupted productivity at all times.",I have resolved every single ticket on the first attempt with zero escalations across my entire career.,AI,Yes,Fair,Implausible,Consistent,Flagged
S092,"Human-written, suspicious",Intermediate,"Auto Repair, Diagnostics","ive fixed every car thats ever come into my shop first try, no come backs ever, other mechanics dont even come close to how good i am honestly",cant think of a specific repair but trust me ive never gotten one wrong in my whole career,Human,Yes,Poor,Implausible,Consistent,Flagged
S026,Poor-quality writing,Entry,"excel, data entry",good with numbers and spredsheets have done data entry job before for a compnay it was fine,entered data into excel sheets every day,Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S072,"AI-generated, plausible",Intermediate,"User Research, Usability Testing, Survey Design",I am a UX researcher with three years of experience running qualitative and quantitative studies for consumer mobile products. I work to make research findings actionable for product and design teams.,"I ran a usability study on our checkout flow that identified a confusing step, which the design team used to simplify the process.",AI,Yes,Good,Plausible,Consistent,Verified
S103,Mixed human/AI-edited,Intermediate,"Sales, Cold Outreach","I've done outbound sales for a small SaaS company for about two years, mostly cold email and LinkedIn outreach. Passionate about building genuine relationships that drive sustainable pipeline growth and exceed revenue targets.","Booked around 5-8 qualified meetings a week through cold outreach, converting maybe one in six to a paying customer.",Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S078,"AI-generated, suspicious",Entry,"Operations Management, Process Improvement","As a dedicated operations professional, I leverage a comprehensive, synergistic approach to process optimization, consistently delivering transformative efficiencies that unlock exponential value across every facet of the organization I serve.","I have optimized every process I have ever touched, achieving perfect efficiency across all operational workflows without exception.",AI,Yes,Fair,Implausible,Consistent,Flagged
S065,"AI-generated, plausible",Intermediate,"Content Strategy, SEO Writing, Editing","I'm a content strategist with four years of experience writing and editing long-form content for SaaS and fintech audiences. I balance SEO requirements with genuinely useful, well-researched writing.",I planned and wrote a ten-part blog series that became the top organic traffic driver for the site over the following two quarters.,AI,Yes,Good,Plausible,Consistent,Verified
