submission_id,scenario_category,experience_level,skills,bio,questionnaire_response,source,completeness_label,text_quality_label,plausibility_label,consistency_label,expected_verdict
S113,Edge case - numeric/keyword-only skills,Entry,"3, 5, JS, ok","did some coding stuff in school, made a website once for a class thing, not sure what else to say here honestly","made a website for a school project, it had a homepage and a contact form",Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S062,"AI-generated, plausible",Expert,"Project Management, Agile, Stakeholder Communication",I bring over a decade of experience managing cross-functional engineering teams in fast-paced product environments. My focus is on translating business goals into actionable sprint plans while maintaining transparent communication with stakeholders.,"I recently coordinated a multi-team launch involving five engineering squads, delivering the release two weeks ahead of the original schedule.",AI,Yes,Good,Plausible,Consistent,Verified
S056,Implausible claims,Entry,Personal Training,"Every client I train loses 20 pounds of pure muscle in their first week, guaranteed, no matter their starting fitness level or medical history.","I have never had a client fail to see dramatic, permanent results within seven days.",Human,Yes,Fair,Implausible,Consistent,Flagged
S089,"Human-written, suspicious",Expert,"Investing, Trading","ive never lost money on a single trade in my whole career, not once, i basically have a sixth sense for the market that nobody else has","every prediction ive made has come true so far, no exceptions, ask anyone who knows me",Human,Yes,Fair,Implausible,Consistent,Flagged
S029,Poor-quality writing,Intermediate,"teaching, lesson plans","been a teacher for a bit teach math n stuff to kids, make lesson plans and grade papers its a lot of work honestly",taught math class had good results i think,Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S004,"Complete, genuine (human)",Intermediate,"Figma, User Research, Prototyping","Product designer with five years of experience, mostly on B2B SaaS dashboards. I run my own usability sessions and work closely with engineering to make sure designs actually ship as intended, not just look good in Figma.","Redesigned our onboarding flow after running eight user interviews, which raised activation rate from 52% to 61% over one quarter.",Human,Yes,Good,Plausible,Consistent,Verified
S111,"Edge case - minimal skills, strong bio",Entry,Curiosity,I don't have formal technical skills listed because I'm coming from a non-technical background - five years in high-school teaching - but I've spent the last eight months self-studying web development every evening and built two small projects I'm proud of.,"Built a simple grade-tracking web app for my own classroom using HTML, CSS, and vanilla JS.",Human,Yes,Good,Plausible,Consistent,Needs Improvement
S054,Implausible claims,Entry,Medical Consulting,"I have personally cured several patients of chronic illnesses using a nutrition plan I developed myself, with a 100% success rate across every case I've handled.","My method works for literally any medical condition, no exceptions.",Human,Yes,Fair,Implausible,Consistent,Flagged
S047,Contradictory information,Expert,"Executive Leadership, P&L Management, Strategy","I've served as Chief Operating Officer at a 500-person company for the past six years, overseeing all day-to-day operations and reporting directly to the board.",This would be my very first internship and I'm still figuring out how to write a professional email.,Human,Yes,Good,Implausible,Contradictory,Flagged
S014,Incomplete,,"Figma, Sketch",I design things.,N/A,Human,No,Poor,Plausible,Consistent,Needs Improvement
S059,Implausible claims,Entry,Mobile App Development,The app I built by myself over a weekend has been downloaded over one billion times and is now used by every major company in the Fortune 500.,"I built it entirely alone with no frameworks or libraries, from scratch, in about 48 hours total.",Human,Yes,Fair,Implausible,Consistent,Flagged
S071,"AI-generated, plausible",Intermediate,"Claims Processing, Policy Review, Compliance",I am an insurance claims specialist with four years of experience reviewing and processing property claims. I aim to balance efficient turnaround with careful attention to policy compliance.,"I streamlined our claims intake checklist, which reduced back-and-forth requests for missing documentation.",AI,Yes,Good,Plausible,Consistent,Verified
S003,"Complete, genuine (human)",Entry,"HTML, CSS, JavaScript","I just finished a six-month coding bootcamp and built three portfolio projects, including a budgeting app and a recipe sharing site. I'm eager to learn from a real engineering team.",Built a personal budgeting app using vanilla JavaScript and localStorage as my capstone project.,Human,Yes,Good,Plausible,Consistent,Verified
S055,Implausible claims,Entry,Real Estate,"Every property I have ever listed sold within 24 hours at 20% above asking price, in every market condition, without exception, over my entire two-year career.",I have a 100% close rate on every deal I have ever touched.,Human,Yes,Fair,Implausible,Consistent,Flagged
S084,"AI-generated, suspicious",Entry,"IT Support, Helpdesk, Troubleshooting","As a highly skilled and proactive IT support professional, I leverage a comprehensive technical toolkit to consistently deliver seamless, frictionless resolutions that empower end-users to achieve uninterrupted productivity at all times.",I have resolved every single ticket on the first attempt with zero escalations across my entire career.,AI,Yes,Fair,Implausible,Consistent,Flagged
S038,Contradictory information,Expert,Python,I have 15 years of experience as a senior Python architect leading teams of 20+ engineers at Fortune 500 companies.,I'm currently a first-year computer science student looking for my very first internship.,Human,Yes,Good,Implausible,Contradictory,Flagged
S115,Edge case - career changer,Entry,"SQL, Excel, basic Python","I spent nine years as a high school math teacher before deciding to move into data analysis. I completed a part-time data analytics certificate over the last year while still teaching, and built two small analysis projects using public datasets.","Analyzed five years of my school's attendance data in Python to identify seasonal absence patterns, which the administration used to adjust scheduling.",Human,Yes,Good,Plausible,Consistent,Verified
S035,Poor-quality writing,Intermediate,"construction, tools","been doin construction for a few years now, know how to use most tools n stuff, worked on houses n small buildings n whatever",worked on some houses dont remember all the details,Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S106,Mixed human/AI-edited,Entry,"IT Support, Ticketing Systems","I did IT support for a small office for about a year, mostly resetting passwords and fixing printer issues. Dedicated to delivering exceptional technical support that empowers users to work without interruption.","Handled about 10-15 tickets a day, mostly account access and basic hardware troubleshooting.",Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S067,"AI-generated, plausible",Expert,"Financial Analysis, Forecasting, Excel Modeling",I am a financial analyst with seven years of experience building forecasting models and supporting budget planning for a mid-size manufacturing company. I focus on making financial data accessible to non-finance stakeholders.,"I rebuilt our quarterly forecasting model, reducing the close process from two weeks to five business days.",AI,Yes,Good,Plausible,Consistent,Verified
S118,Edge case - overqualified for entry role,Entry,"Strategic Planning, Team Leadership, P&L Management","After fifteen years as a regional operations director, I recently relocated and am deliberately looking for an entry-level role to rebuild local experience and take some career pressure off for a while.","Managed operations across 12 retail locations in my previous role, though I'm applying here for something lower-key.",Human,Yes,Good,Plausible,Consistent,Needs Improvement
S088,"Human-written, suspicious",Intermediate,"social media, marketing","everything i post goes viral no joke, i have like a golden touch for content, every brand i worked with blew up immediately after i started","cant remember exact numbers but trust me it was a lot of views, like a crazy amount honestly",Human,Yes,Poor,Implausible,Consistent,Flagged
S105,Mixed human/AI-edited,Intermediate,"Legal Assistance, Filing, Scheduling","I've worked as a legal assistant at a small firm for two years handling filing and scheduling. Dedicated to providing meticulous, detail-oriented support that ensures seamless case management from intake to resolution.","Organized case files for around 30 active matters, which the attorneys said made things easier to find.",Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S026,Poor-quality writing,Entry,"excel, data entry",good with numbers and spredsheets have done data entry job before for a compnay it was fine,entered data into excel sheets every day,Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S099,Mixed human/AI-edited,Intermediate,"Figma, UI Design","I've designed mobile app interfaces for two years at a small startup. Passionate about crafting intuitive, user-centric experiences that seamlessly blend aesthetics with functionality to drive meaningful engagement.","Redesigned our app's checkout flow, which our team believes helped reduce cart abandonment, though we never formally measured it.",Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S075,"AI-generated, suspicious",Entry,"Marketing, Branding, Growth","As a dynamic and forward-thinking marketing professional, I excel at leveraging innovative strategies to drive impactful, data-driven growth across multiple channels, consistently delivering unparalleled results that exceed every KPI target.",I spearheaded a game-changing initiative that revolutionized our brand's market positioning and unlocked unprecedented levels of engagement.,AI,Yes,Fair,Implausible,Consistent,Flagged
S120,Edge case - skills/role mismatch but plausible,Entry,"Music Production, Audio Engineering","I've spent the last three years as a freelance audio engineer for local bands, but I'm looking to transition into customer support roles since steady freelance income has been unpredictable.","Mixed and mastered an EP for a local band that got some regional radio play, but I'm ready for a career change.",Human,Yes,Good,Plausible,Consistent,Needs Improvement
S017,Incomplete,Intermediate,,Data analyst with experience in reporting.,Not sure what to put here.,Human,No,Fair,Plausible,Consistent,Needs Improvement
S083,"AI-generated, suspicious",Entry,"Fitness Coaching, Nutrition","As a transformative and results-obsessed fitness coach, I leverage a holistic, science-backed methodology to consistently deliver unparalleled physical transformations that empower every client to achieve their ultimate fitness potential.","Every client I have ever coached has achieved dramatic, life-changing results within their first week, without exception.",AI,Yes,Fair,Implausible,Consistent,Flagged
S002,"Complete, genuine (human)",Expert,"Python, Django, AWS, Docker","Backend engineer with eight years of experience, primarily in fintech. I've designed and scaled payment processing systems handling several thousand transactions per minute, and mentored junior engineers on system design.","Led the migration of our payments service from a monolith to microservices, reducing deployment time from hours to minutes.",Human,Yes,Good,Plausible,Consistent,Verified
S006,"Complete, genuine (human)",Expert,"Kubernetes, Terraform, CI/CD, AWS","DevOps engineer with seven years of experience, the last three focused entirely on Kubernetes infrastructure for a company running around 200 microservices. I care a lot about making on-call less painful for everyone else on the team.","Rebuilt our CI/CD pipeline with Terraform and GitHub Actions, cutting average deploy time from 25 minutes to under 6.",Human,Yes,Good,Plausible,Consistent,Verified
S081,"AI-generated, suspicious",Entry,"Program Coordination, Community Outreach","As a passionate and mission-driven program coordinator, I leverage a holistic, community-centered approach to drive transformative social impact, consistently exceeding engagement targets and fostering unparalleled stakeholder alignment across every initiative.","Every program I have coordinated has achieved perfect community engagement, exceeding all targets without exception.",AI,Yes,Fair,Implausible,Consistent,Flagged
S046,Contradictory information,Expert,"Veterinary Medicine, Surgery, Animal Diagnostics",I'm a licensed veterinarian with eleven years of experience running my own small-animal practice and performing routine surgeries.,I'm a sophomore in high school currently deciding what I want to study in college.,Human,Yes,Good,Implausible,Contradictory,Flagged
S073,"AI-generated, suspicious",Entry,"Full-Stack Development, Cloud Architecture, Machine Learning, DevOps","As a highly motivated and results-driven professional, I possess an extensive and diverse skill set spanning full-stack development, cloud architecture, machine learning, and DevOps practices, enabling me to seamlessly deliver end-to-end solutions that consistently exceed stakeholder expectations.","Leveraging synergistic best practices, I have consistently delivered cutting-edge, scalable solutions across a wide array of complex, mission-critical projects.",AI,Yes,Fair,Implausible,Consistent,Flagged
S022,Incomplete,Intermediate,Photography,I'm a photographer.,See portfolio (not attached).,Human,No,Poor,Plausible,Consistent,Needs Improvement
S041,Contradictory information,Expert,"Financial Modeling, Investment Banking",I spent a decade as a Vice President at a top investment bank leading M&A deals worth hundreds of millions of dollars.,I paint watercolor landscapes as a hobby and have never worked in an office before.,Human,Yes,Good,Plausible,Contradictory,Flagged
S116,Edge case - emoji-heavy formatting,Entry,"Social Media, Canva, Instagram","hii!! im a social media person who LOVES creating content for brands, ive worked with a few small local shops doing their instagram and it was so fun, always down to learn more and grow!!","made instagram posts for a local bakery that got a decent amount of engagement, they were happy with it!",Human,Yes,Fair,Plausible,Consistent,Needs Improvement
S021,Incomplete,,"Troubleshooting, Windows, Networking","IT support, ask me anything.",,Human,No,Poor,Plausible,Consistent,Needs Improvement
S030,Poor-quality writing,Intermediate,"hr, recruiting",i do hr stuff like hiring ppl and onboarding and handlin complaints n stuff its a busy job lots going on all the time,hired some ppl for open roles last year,Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S033,Poor-quality writing,Entry,"driving, deliveries","i drive for a delivery app n stuff for like a year now, drop off packages n orders, pretty easy job honestly just drivin around all day",delivered alot of packages dont got exact numbers on me,Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S034,Poor-quality writing,Entry,"cash register, stocking","worked retail for like 2 yrs doin register n stockin shelves n stuff, dealt with customers n returns n all that",helped customers find stuff n did returns n stuff like that,Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S061,"AI-generated, plausible",Intermediate,"React, TypeScript, GraphQL","With over four years of hands-on experience in frontend development, I specialize in building scalable, maintainable user interfaces using React and TypeScript. I have a strong track record of collaborating with cross-functional teams to deliver polished products on schedule.","In my most recent role, I led the adoption of a GraphQL layer that reduced redundant API calls and improved page load performance by roughly 25 percent.",AI,Yes,Good,Plausible,Consistent,Verified
S027,Poor-quality writing,Intermediate,"python, sql","i been coding for a while now mostly python and sql stuff for reports and things, its ok i guess, done some scripts and stuff for my last job",wrote a script that did some automation thing for reports i dont remember exactly what,Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S101,Mixed human/AI-edited,Intermediate,"Recruiting, Onboarding","I've worked in recruiting for three years at a small agency, mostly filling admin and entry-level roles. Dedicated to identifying top talent and fostering a seamless, candidate-centric hiring experience from first contact to offer.","Filled about 15 roles last year, mostly for local retail and admin positions.",Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S092,"Human-written, suspicious",Intermediate,"Auto Repair, Diagnostics","ive fixed every car thats ever come into my shop first try, no come backs ever, other mechanics dont even come close to how good i am honestly",cant think of a specific repair but trust me ive never gotten one wrong in my whole career,Human,Yes,Poor,Implausible,Consistent,Flagged
S011,"Complete, genuine (human)",Intermediate,"Animal Handling, Veterinary Software, Client Communication","I've worked as a veterinary technician for six years at a small-animal clinic, assisting with surgery prep, lab work, and client education. I'm certified in animal CPR and comfortable handling emergency cases.",Helped implement a new digital record system that cut appointment check-in time roughly in half.,Human,Yes,Good,Plausible,Consistent,Verified
S090,"Human-written, suspicious",Intermediate,Teaching,"im honestly the best teacher this school has ever had, every single kid in my class gets an A, parents literally beg to get their kids into my class every year",cant think of a specific lesson but everything i teach just works perfectly every time,Human,Yes,Fair,Implausible,Consistent,Flagged
S012,"Complete, genuine (human)",Intermediate,"Calendar Management, Travel Coordination, Confidentiality","I've worked as an executive assistant supporting a VP-level team for three years, managing complex calendars across three time zones and coordinating international travel. I'm used to handling sensitive information with discretion.","Reorganized the executive's meeting structure, cutting weekly calendar conflicts from several per week to almost none.",Human,Yes,Good,Plausible,Consistent,Verified
S031,Poor-quality writing,Entry,video editing,i edit videos for youtube n stuff been doin it for a bit now know premiere and after effects a little bit,edited some videos got decent views idk exact numbers,Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S049,Implausible claims,Entry,Everything,"I am an expert in all programming languages including Python, Java, C++, Rust, Go, Haskell, and 40 others. I have personally built over 500 production applications used by a billion users combined.",I invented three new sorting algorithms that are faster than anything currently published.,Human,Yes,Fair,Implausible,Consistent,Flagged
S104,Mixed human/AI-edited,Intermediate,"Warehouse Coordination, Inventory Systems",I've coordinated inventory for a mid-size warehouse for two years. Committed to leveraging best-in-class logistics practices to drive operational excellence and seamless supply chain efficiency.,"Reorganized our inventory labeling system, which the team believes cut picking errors, though we never tracked exact numbers.",Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S093,"Human-written, suspicious",Intermediate,Photography,"literally every photo ive ever taken has been perfect first try, no edits needed ever, clients always say im better than photographers whove been doin it for 20 years","cant name a specific shoot but trust me theyre all amazing, every single one honestly",Human,Yes,Poor,Implausible,Consistent,Flagged
S076,"AI-generated, suspicious",Entry,"Sales, Negotiation, Client Relations","As a results-oriented sales professional with an unwavering commitment to excellence, I consistently exceed targets by leveraging a client-centric approach that drives sustainable, long-term revenue growth across every account I manage.","I have consistently closed every deal I have pursued, exceeding quota by significant margins each and every quarter without fail.",AI,Yes,Fair,Implausible,Consistent,Flagged
S097,Mixed human/AI-edited,Intermediate,"Python, SQL, Tableau","I've been working as a data analyst for about three years now, mostly building dashboards and running ad-hoc queries for the marketing team. Leveraging a robust analytical toolkit, I consistently deliver actionable insights that drive strategic decision-making across the organization.",Built a Tableau dashboard that the marketing team still uses weekly to track campaign ROI.,Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S007,"Complete, genuine (human)",Intermediate,"Patient Scheduling, EHR Systems, Medical Billing","I've worked as a clinic administrator for four years at a family practice, handling scheduling, insurance verification, and EHR data entry. I trained two new front-desk hires last year on our intake process.",Reduced patient check-in time by reorganizing our EHR intake form to cut redundant fields.,Human,Yes,Good,Plausible,Consistent,Verified
S086,"Human-written, suspicious",Intermediate,Sales,"I closed over 10 million dollars in deals last quarter working solo with no team and no CRM, all cold calls, best salesperson this industry has ever seen honestly.","Every single deal I have ever pitched has closed, 100% success rate, no exceptions.",Human,Yes,Fair,Implausible,Consistent,Flagged
S103,Mixed human/AI-edited,Intermediate,"Sales, Cold Outreach","I've done outbound sales for a small SaaS company for about two years, mostly cold email and LinkedIn outreach. Passionate about building genuine relationships that drive sustainable pipeline growth and exceed revenue targets.","Booked around 5-8 qualified meetings a week through cold outreach, converting maybe one in six to a paying customer.",Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S108,Mixed human/AI-edited,Entry,"User Interviews, Surveys","I helped run a few user interviews for a class project last year. Passionate about uncovering deep user insights that drive meaningful, human-centered product decisions.",Interviewed about 8 users for a mock app redesign project as part of my coursework.,Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S050,Implausible claims,Entry,Machine Learning,I graduated high school last month and have already published 12 peer-reviewed papers at top AI conferences and hold 6 patents in deep learning architectures.,My most recent project achieved 100% accuracy on every benchmark I tested it on.,Human,Yes,Good,Implausible,Consistent,Flagged
S096,"Human-written, suspicious",Intermediate,"Cooking, Restaurant Management","honestly im the best chef this city has ever seen, every dish i make gets perfect reviews, restaurants beg me to come work for them all the time no cap",cant think of a specific dish but trust me everything i cook is basically flawless every time,Human,Yes,Poor,Implausible,Consistent,Flagged
S064,"AI-generated, plausible",Entry,"Customer Support, Zendesk, Communication",I'm a customer support specialist with two years of experience handling high-volume ticket queues in a B2B SaaS environment. I focus on resolving issues quickly while making sure customers feel heard.,I helped reduce our average response time from six hours to under two by reorganizing our ticket triage process.,AI,Yes,Good,Plausible,Consistent,Verified
S023,Incomplete,Entry,,,Insurance claims processing.,Human,No,Poor,Plausible,Consistent,Needs Improvement
S087,"Human-written, suspicious",Intermediate,"Coding, basically everything","honestly im just built different when it comes to coding, never had a bug in production ever, other devs on my old team used to call me the goat fr",cant name a specific project but i built way more impressive stuff than most senior devs tbh,Human,Yes,Poor,Implausible,Consistent,Flagged
S112,Edge case - non-English mixed in,Intermediate,"Traduction, Content Writing, SEO","Je suis redactrice freelance depuis trois ans, specialisee dans le contenu SEO en francais et en anglais. I also write blog content for English-speaking clients in the SaaS space.",Wrote a 12-part blog series for a SaaS client that doubled their organic traffic over six months.,Human,Yes,Good,Plausible,Consistent,Verified
S070,"AI-generated, plausible",Intermediate,"Warehouse Operations, WMS, Team Leadership","I am a warehouse operations supervisor with five years of experience overseeing daily fulfillment operations and leading shift teams. I focus on balancing throughput targets with safe, sustainable working conditions.","I restructured our shift scheduling process, which reduced overtime costs while maintaining our fulfillment targets.",AI,Yes,Good,Plausible,Consistent,Verified
S009,"Complete, genuine (human)",Intermediate,"Inventory Management, Forklift Certified, WMS Software","I've worked in warehouse operations for five years, the last two as a shift lead coordinating a team of eight. I'm comfortable with our WMS software and have helped train new hires on safety procedures.","Reorganized our pick paths in the warehouse, cutting average order fulfillment time by about 15%.",Human,Yes,Good,Plausible,Consistent,Verified
S068,"AI-generated, plausible",Intermediate,"ETL Pipelines, Airflow, SQL, Python",I am a data engineer with four years of experience building and maintaining ETL pipelines that support analytics and reporting teams. I focus on making pipelines resilient and easy to debug when something breaks at 2am.,"I rebuilt our nightly ETL pipeline in Airflow, cutting average runtime from four hours to ninety minutes.",AI,Yes,Good,Plausible,Consistent,Verified
S100,Mixed human/AI-edited,Intermediate,"React, JavaScript","I've built a handful of small web apps for local businesses as freelance work over the past two years. Committed to writing clean, maintainable code that empowers businesses to achieve their digital transformation goals.",Built a booking site for a local hair salon that they still use to take appointments.,Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S013,Incomplete,Intermediate,Java,Software developer.,,Human,No,Poor,Plausible,Consistent,Needs Improvement
S110,Edge case - unusually long bio,Intermediate,"C++, Embedded Systems","I started programming when I was thirteen, teaching myself C from library books because my school didn't offer computer science classes. In university I focused on embedded systems, working on a robotics team that competed nationally for three years running. After graduating I joined a small hardware startup where I wrote firmware for battery management systems, which taught me a lot about the constraints of memory-limited environments. Two years ago I moved to a larger company working on industrial IoT sensors, where I currently maintain a C++ codebase running on several thousand deployed devices.","Rewrote our sensor firmware's power management logic, extending average battery life from 8 to 14 months across our device fleet.",Human,Yes,Good,Plausible,Consistent,Verified
